Species ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Authority,Infraspecific rank,Infraspecific name,Infraspecific authority,Stock/subpopulation,Synonyms,Common names (Eng),Common names (Fre),Common names (Spa),Red List status,Red List criteria,Red List criteria version,Year assessed,Population trend,Petitioned
177984,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,polyzona,"(Bleeker, 1868)",,,,,Acanthurus triostegus polyzona  |Rhombotides polyzona  ,"Multibar Surgeonfish, Black-barred Surgeonfish",,,DD,,3.1,2012,unknown,N
178022,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,pyroferus,"Kittlitz, 1834",,,,,Acanthurus armiger  |Acanthurus celebicus  |Acanthurus fuscus  |Hepatus celebicus  |Hepatus pyriferus  |Hepatus pyroferus  |Rhombotides celebicus  ,"Mimic Surgeonfish, Pacific Mimic Surgeon, Orange-gilled Surgeonfish, Chocolate Surgeonfish, Yellowspot Surgeon","Chirurgien Porteur de Feu, Chirurgien Rose",,LC,,3.1,2012,stable,N
177976,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,reversus,"Randall & Earle, 1999",,,,,,Marquesan Surgeonfish,,,LC,,3.1,2012,stable,N
177987,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,sohal,"(ForsskÂl, 1775)",,,,,Acanthurus carinatus  |Aspisurus sohar  |Chaetodon sohal  |Chaetodon sohar  |Choetodon sohab  |Ctenodon ruppelii  ,"Sohal Surgeonfish, Red Sea Surgeonfish, Red Sea Clown Surgeon",,,LC,,3.1,2012,stable,N
177997,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,tennentii,"G¸nther, 1861",,,,,Acanthurus bicommatus  |Acanthurus plagiatus  |Acanthurus tennenti  ,"Doubleband Surgeonfish, Lieutenant Surgeonfish",Chirurgien Fer ‡ Cheval,Sangrador Herradura,LC,,3.1,2012,stable,N
178008,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,thompsoni,"(Fowler, 1923)",,,,,Acanthurus philippinus  |Hepatus philippinus  |Hepatus thompsoni  |Teuthis thompsoni  ,"Thompson's Surgeonfish, Thompson's Tang, Chocolate Surgeonfish, Night Surgeonfish, Whitetail Surgeonfish",Chirurgien ‡ Queue Blanche,,LC,,3.1,2012,stable,N
177965,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,triostegus,"(Linnaeus, 1758)",,,,,Acanthurus hirudo  |Acanthurus pentazona  |Acanthurus subarmatus  |Acanthurus triastegus  |Acanthurus triostegus marquesensis  |Acanthurus triostegus sandvicensis  |Acanthurus triostegust  |Acanthurus triostegus triostegus  |Acanthurus zebra  |Chaetodon couaga  |Chaetodon triostegus  |Harpurus fasciatus  |Hepatus sandvicensis  |Hepatus triostegus  |Rhombotides pentazona  |Rhombotides triostegus  |Teuthis australis  |Teuthis elegans  |Teuthis sandvicensis  |Teuthis triostegus  |Teuthis troughtoni  ,"Convict Surgeonfish, Fiveband Surgeonfish, Convict Tang","Chirurgien ZËbre, Chirurgien ‡ Raies Noires, Chirurgien Bagnard","Cirujano Convicto, Cirujano Rayado, Cirujano Reo, Lancero Convicto, Sangrador Carcelario",LC,,3.1,2012,stable,N
177998,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,tristis,"Randall, 1993",,,,,,"Indian Ocean Mimic Surgeonfish, Blackcheek Surgeonfish, Yellowspot Surgeonfish",,,LC,,3.1,2012,stable,N
177989,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ACANTHURIDAE,Acanthurus,xanthopterus,"Valenciennes, 1835",,,,,Acanthurus crestonis  |Acanthurus rasi  |Acanthurus reticulatus  |Hepatus aquilinus  |Hepatus crestonis  |Hepatus guntheri  |Hepatus xanthopterus  |Teuthis crestonis  |Teuthis guentheri  |Teuthis guentheri  |Teuthis g¸ntheri  |Teuthis xanthopterus  ,"Yellowfin Surgeonfish, Ring-tailed Surgeonfish, Cuvier's Surgeonfish, Yellow-mask Surgeon, Purple Surgeonfish","Poisson Docteur ‡ Nageoires Jaunes, Chirurgien Aile Jaune, Chirurgien ‡ Nageoires Jaunes","Chancho Aleta Amarilla, Cirujano Aleta Amarilla, Cirujano de Aleta Amarilla, NavajÛn Aleta Amarilla, Pez Cirujano, Pez Cirujano P˙rpura",LC,,3.1,2012,stable,N
187520,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LABRIDAE,Achoerodus,gouldii,"(Richardson, 1843)",,,,,Labrus gouldii  |Labrus gouldii  |Platychoerops muelleri  |Platychoerops muelleri  ,"Gould's Wrasse, Western Blue Groper, Western Blue Wrasse",,,VU,A2bd,3.1,2010,decreasing,N
