Species ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Common names (Eng),Red List status,Population trend
856,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,DIPODIDAE,Allactaga,hotsoni,"Hotson's Five-toed Jerboa, Hotson's Jerboa",LC,unknown
857,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,DIPODIDAE,Allactaga,major,Great Jerboa,LC,decreasing
858,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,DIPODIDAE,Allactaga,severtzovi,Svertzov's Jerboa,LC,unknown
859,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,DIPODIDAE,Allactaga,sibirica,"Siberian Jerboa, Mongolian Five-toed Jerboa",LC,unknown
850,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,DIPODIDAE,Allactaga,tetradactyla,Four-toed Jerboa,VU,unknown
860,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,DIPODIDAE,Allactaga,vinogradovi,Vinogradov's Jerboa,NT,decreasing
136326,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,DIPODIDAE,Allactaga,williamsi,,LC,decreasing
861,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,DIPODIDAE,Allactodipus,bobrinskii,Bobrinski's Jerboa,LC,unknown
865,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Allenopithecus,nigroviridis,Allen's Swamp Monkey,LC,unknown
868,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CHEIROGALEIDAE,Allocebus,trichotis,Hairy-eared Dwarf Lemur,VU,decreasing
42640,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Allocricetulus,curtatus,Mongolian Hamster,LC,unknown
875,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Allocricetulus,eversmanni,Eversmann's Hamster,LC,unknown
136486,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,ATELIDAE,Alouatta,arctoidea,Ursine Howler Monkey,LC,unknown
39957,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,ATELIDAE,Alouatta,belzebul,"Red-handed Howler Monkey, Red-handed Howling Monkey",VU,decreasing
41545,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,ATELIDAE,Alouatta,caraya,"Black-and-gold Howler Monkey, Black Howling Monkey, Black Howler Monkey",LC,decreasing
43912,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,ATELIDAE,Alouatta,discolor,"Spix's Red-handed Howler Monkey, Red-handed Howling Monkey",VU,decreasing
39916,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,ATELIDAE,Alouatta,guariba,"Brown Howler Monkey, Brown Howling Monkey, Southern Brown Howling Monkey",LC,decreasing
922,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,ATELIDAE,Alouatta,juara,"Juruá Red Howler Monkey, Juruá Red Howling Monkey",LC,decreasing
40642,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,ATELIDAE,Alouatta,macconnelli,"Guianan Red Howler Monkey, Trinidad Howling Monkey",LC,unknown
136332,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,ATELIDAE,Alouatta,nigerrima,Black Howler Monkey,LC,unknown
39960,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,ATELIDAE,Alouatta,palliata,"Mantled Howler Monkey, South Pacific Blackish Howling Monkey, Ecuadorian Mantled Howling Monkey",LC,unknown
914,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,ATELIDAE,Alouatta,pigra,"Yucatán Black Howler Monkey, Black Howling Monkey, Guatemalan Howler, Guatemalan Howling Monkey, Lawrence's Howler Monkey, Mexican Black Howler Monkey, Guatemalan Black Howler Monkey",EN,decreasing
136787,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,ATELIDAE,Alouatta,puruensis,Purús Red Howler Monkey,LC,unknown
41546,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,ATELIDAE,Alouatta,sara,"Bolivian Red Howler Monkey, Bolivian Red Howling Monkey, Bolivian Red Howler",LC,decreasing
43929,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,ATELIDAE,Alouatta,seniculus,"Colombian Red Howler Monkey, Colombian Red Howling Monkey",LC,decreasing
918,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,ATELIDAE,Alouatta,ululata,"Maranhão Red-handed Howler Monkey, Red-handed Howling Monkey",EN,decreasing
948,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Alticola,albicaudus,White-tailed Mountain Vole,DD,unknown
949,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Alticola,argentatus,Silver Mountain Vole,LC,unknown
950,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Alticola,barakshin,Gobi Altai Mountain Vole,LC,unknown
951,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Alticola,lemminus,Lemming Vole,LC,unknown
952,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Alticola,macrotis,Large-eared Vole,LC,unknown
953,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Alticola,montosa,"Central Kashmir Vole, True's Vole",VU,decreasing
136648,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Alticola,olchonensis,Olkhon Mountain Vole,DD,unknown
954,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Alticola,roylei,Royle's Mountain Vole,NT,decreasing
955,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Alticola,semicanus,"Mongolian Silver Vole, Royle's Mountain Vole",LC,unknown
956,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Alticola,stoliczkanus,Stoliczka's Mountain Vole,LC,unknown
958,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Alticola,strelzowi,Flat-headed Vole,LC,unknown
959,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Alticola,tuvinicus,Tuva Silver Vole,LC,unknown
62006,ANIMALIA,CHORDATA,MAMMALIA,AFROSORICIDA,CHRYSOCHLORIDAE,Amblysomus,corriae,Fynbos Golden Mole,NT,unknown
41316,ANIMALIA,CHORDATA,MAMMALIA,AFROSORICIDA,CHRYSOCHLORIDAE,Amblysomus,hottentotus,"Hottentot Golden Mole, Zulu Golden Mole",LC,unknown
62007,ANIMALIA,CHORDATA,MAMMALIA,AFROSORICIDA,CHRYSOCHLORIDAE,Amblysomus,marleyi,Marley's Golden Mole,EN,unknown
62008,ANIMALIA,CHORDATA,MAMMALIA,AFROSORICIDA,CHRYSOCHLORIDAE,Amblysomus,robustus,Robust Golden Mole,VU,unknown
62009,ANIMALIA,CHORDATA,MAMMALIA,AFROSORICIDA,CHRYSOCHLORIDAE,Amblysomus,septentrionalis,Highveld Golden Mole,NT,unknown
1137,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,Ametrida,centurio,Little White-shouldered Bat,LC,unknown
1140,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Ammodillus,imbellis,Ammodile,DD,stable
1141,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BOVIDAE,Ammodorcas,clarkei,"Dibatag, Clarke's Gazelle",VU,decreasing
42399,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Ammospermophilus,harrisii,Harris's Antelope Squirrel,LC,unknown
42451,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Ammospermophilus,interpres,Texas Antelope Squirrel,LC,unknown
42452,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Ammospermophilus,leucurus,"White-tailed Antelope Sqirrel, White-tailed Antelope Squirrel",LC,stable
1149,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Ammospermophilus,nelsoni,"Nelson's Antelope Squirrel, San Joaquin Antelope Ground Squirrel, San Joaquin Antelope Squirrel",EN,decreasing
1151,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BOVIDAE,Ammotragus,lervia,"Aoudad, Uaddan, Barbary Sheep",VU,decreasing
1154,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,FURIPTERIDAE,Amorphochilus,schnablii,"Smokey Bat, Smoky Bat",EN,decreasing
